Variante,Melhor,Mediana,Média,Desvio Padrão,Pior
APM,0.010827492711592333,0.020614040130670055,0.0261989323010339,0.014211884358027307,0.05352435070581493
AMP_Med_3,0.01149470440276043,0.021902535204805257,0.026983028643712437,0.014150180387124216,0.06305341381011025
AMP_Worst,0.012681341010264977,0.02048298051573501,0.026306174292690294,0.014129546821788066,0.06270144554625455
APM_Spor_Mono,0.011296414042711827,0.022803574269472337,0.030097570325831782,0.017213056537944485,0.06564870731582467
