Variante,Melhor,Mediana,Média,Desvio Padrão,Pior
APM,0.010759680173051178,0.028876311544384144,0.028727710332096867,0.013849271409982163,0.05432687402889463
APM_Med_3,0.010731183394323362,0.02643115924224207,0.026375388268441605,0.013107119923576244,0.052297931257406026
APM_Worst,0.01064589583096537,0.02823934567740864,0.02671249884138562,0.01347941206872768,0.053842146315840625
APM_Spor_Mono,0.011050182026964365,0.025303452072717558,0.026461060201723802,0.013598518947064748,0.05359257814624889
